Point ID,Easting (X)(m),Northing (Y)(m),Height (Z)(m),Accuracy (m)
BS1,979.3104,1000.0000,101.6826,0.0030
P1,997.1110,1009.6704,104.1154,0.0030
P2,999.8920,1009.5859,104.1069,0.0030
P3,1003.6426,1009.4735,104.0804,0.0030
P4,1003.8570,1009.4746,101.4005,0.0030
P5,999.2815,1009.6053,101.3301,0.0030
P6,995.9992,1009.7005,101.3318,0.0030
P7,997.2824,1009.7146,105.0998,0.0030
P8,1000.0681,1009.6307,105.1005,0.0030
P9,1003.4710,1009.5302,105.1002,0.0030
P10,1003.6908,1009.5286,102.3825,0.0030
P11,997.3313,1008.9079,102.3960,0.0030